Part,Value,Device,Package,Description,PROD_ID,SF_ID,VALUE
C1,47pF,47PF-0603-50V-5%,603,47pF ceramic capacitors,CAP-08913,,47pF
FB1,30Ohm/1.8A,FERRITE_BEAD-0603,603,Ferrite Bead (blocks,,,
M1,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M2,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M3,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M4,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M5,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
M5V,MOSFET_60V_22A,"BUK9Y43-60E,115",SOT-669-4,,,,
PWR_SWITCHER,STPS30170CG-TR_2_DIODES,STPS30170CG-TR,TO-263-3,,,,
R1,10,10OHM-0603-1/10W-1%,603,10Ω resistor,RES-12581,,10
R2,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R3,4.7k,4.7KOHM-0603-1/10W-1%,603,4.7kΩ resistor,RES-07857,,4.7k
R4,4.7k,4.7KOHM-0603-1/10W-1%,603,4.7kΩ resistor,RES-07857,,4.7k
R5,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R6,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R7,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R8,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R9,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R10,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R11,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R12,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R13,10k,10KOHM-0603-1/10W-1%,603,10kΩ resistor,RES-00824,,10k
R14,1k,1KOHM-0603-1/10W-1%,603,1kΩ resistor,RES-07856,,1k
R15,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
R16,20k,20KOHM-0603-1/10W-1%,603,20kΩ resistor,RES-09383,,20k
